Time [s],SCLK,SDO,SDI,nSEL
-1.000000000,0,0,0,0
-0.000000020,1,1,1,1
0.000000000,0,0,0,0
0.113043420,0,1,0,0
0.119080760,0,0,0,0
0.119088960,0,1,0,0
0.339215640,0,1,0,1
0.339259620,0,1,0,0
0.339265620,1,1,0,0
0.339266620,0,1,1,0
0.339267620,1,1,1,0
0.339268620,0,1,0,0
0.339269620,1,1,0,0
0.339270620,0,1,0,0
0.339271620,1,1,0,0
0.339272620,0,1,0,0
0.339273620,1,1,0,0
0.339274620,0,1,1,0
0.339275620,1,1,1,0
0.339276620,0,1,0,0
0.339277620,1,1,0,0
0.339278620,0,1,0,0
0.339279620,1,1,0,0
0.339280620,0,0,0,0
0.339290860,0,0,1,0
0.339292600,1,0,1,0
0.339293600,0,0,1,0
0.339294600,1,0,1,0
0.339295600,0,0,1,0
0.339296600,1,0,1,0
0.339297600,0,0,1,0
0.339298600,1,0,1,0
0.339299600,0,0,1,0
0.339300600,1,0,1,0
0.339301600,0,0,1,0
0.339302600,1,0,1,0
0.339303600,0,0,1,0
0.339304600,1,0,1,0
0.339305600,0,0,1,0
0.339306600,1,0,1,0
0.339307600,0,0,1,0
0.339315600,0,0,1,1
0.339316280,0,1,1,1
0.339316840,0,1,1,0
0.339321100,0,1,0,0
0.339322840,1,1,0,0
0.339323840,0,1,1,0
0.339324840,1,1,1,0
0.339325840,0,1,0,0
0.339326840,1,1,0,0
0.339327840,0,1,0,0
0.339328840,1,1,0,0
0.339329840,0,1,0,0
0.339330840,1,1,0,0
0.339331840,0,1,1,0
0.339332840,1,1,1,0
0.339333840,0,1,0,0
0.339334840,1,1,0,0
0.339335840,0,1,0,0
0.339336840,1,1,0,0
0.339337840,0,0,0,0
0.339348080,0,0,1,0
0.339349840,1,0,1,0
0.339350820,0,0,1,0
0.339351820,1,0,1,0
0.339352820,0,0,1,0
0.339353820,1,0,1,0
0.339354820,0,0,1,0
0.339355820,1,0,1,0
0.339356820,0,0,1,0
0.339357820,1,0,1,0
0.339358820,0,0,1,0
0.339359820,1,0,1,0
0.339360820,0,0,1,0
0.339361820,1,0,1,0
0.339362820,0,0,1,0
0.339363820,1,0,1,0
0.339364820,0,0,1,0
0.339372820,0,0,1,1
0.339373500,0,1,1,1
0.339374060,0,1,1,0
0.339378320,0,1,0,0
0.339380060,1,1,0,0
0.339381060,0,1,1,0
0.339382060,1,1,1,0
0.339383060,0,1,0,0
0.339384060,1,1,0,0
0.339385060,0,1,0,0
0.339386060,1,1,0,0
0.339387060,0,1,0,0
0.339388060,1,1,0,0
0.339389060,0,1,1,0
0.339390060,1,1,1,0
0.339391060,0,1,0,0
0.339392060,1,1,0,0
0.339393060,0,1,0,0
0.339394060,1,1,0,0
0.339395060,0,0,0,0
0.339426540,0,0,1,0
0.339428280,1,0,1,0
0.339429280,0,0,1,0
0.339430280,1,0,1,0
0.339431280,0,0,1,0
0.339432280,1,0,1,0
0.339433280,0,0,1,0
0.339434280,1,0,1,0
0.339435280,0,0,1,0
0.339436280,1,0,1,0
0.339437280,0,0,1,0
0.339438280,1,0,1,0
0.339439280,0,0,1,0
0.339440280,1,0,1,0
0.339441280,0,0,1,0
0.339442280,1,0,1,0
0.339443280,0,0,1,0
0.339451280,0,0,1,1
0.339451960,0,1,1,1
0.339452520,0,1,1,0
0.339456760,0,1,0,0
0.339458520,1,1,0,0
0.339459520,0,1,1,0
0.339460520,1,1,1,0
0.339461520,0,1,0,0
0.339462520,1,1,0,0
0.339463520,0,1,0,0
0.339464520,1,1,0,0
0.339465520,0,1,0,0
0.339466520,1,1,0,0
0.339467520,0,1,1,0
0.339468520,1,1,1,0
0.339469500,0,1,1,0
0.339469520,0,1,0,0
0.339470520,1,1,0,0
0.339471500,0,1,0,0
0.339472500,1,1,0,0
0.339473500,0,1,0,0
0.339473520,0,0,0,0
0.339483760,0,0,1,0
0.339485500,1,0,1,0
0.339486500,0,0,1,0
0.339487500,1,0,1,0
0.339488500,0,0,1,0
0.339489500,1,0,1,0
0.339490500,0,0,1,0
0.339491500,1,0,1,0
0.339492500,0,0,1,0
0.339493500,1,0,1,0
0.339494500,0,0,1,0
0.339495500,1,0,1,0
0.339496500,0,0,1,0
0.339497500,1,0,1,0
0.339498480,0,0,1,0
0.339499500,1,0,1,0
0.339500480,0,0,1,0
0.339508480,0,0,1,1
0.339509180,0,1,1,1
0.339509740,0,1,1,0
0.339513980,0,1,0,0
0.339515720,1,1,0,0
0.339516720,0,1,1,0
0.339517720,1,1,1,0
0.339518720,0,1,0,0
0.339519720,1,1,0,0
0.339520720,0,1,0,0
0.339521720,1,1,0,0
0.339522720,0,1,0,0
0.339523720,1,1,0,0
0.339524720,0,1,1,0
