Time [s],SCLK,SDI,GPIO2,GPIO3
0.000000000,0,0,0,0
1.822058400,1,0,0,0
1.822058420,0,0,0,0
1.822060960,1,0,0,0
1.822070740,1,1,0,0
1.822215060,1,0,0,0
1.822215080,1,1,0,0
1.822246640,1,0,0,0
1.822246660,1,1,0,0
1.822263520,1,0,0,0
1.822272360,1,1,0,0
1.822277600,1,0,0,0
1.822277620,1,1,0,0
1.822291700,1,0,0,0
1.822292180,1,1,0,0
1.822296720,1,0,0,0
1.822302960,1,1,0,0
1.822309140,1,0,0,0
1.822309160,1,1,0,0
1.822309200,1,0,0,0
1.822309220,1,1,0,0
1.822316580,1,0,0,0
1.822340020,1,1,0,0
1.822340080,1,0,0,0
1.822340100,1,1,0,0
1.822340160,1,0,0,0
1.822340220,1,1,0,0
1.822341000,1,0,0,0
1.822371720,1,1,0,0
1.822371740,1,0,0,0
1.822371760,1,1,0,0
1.822371780,1,0,0,0
1.822371800,1,1,0,0
1.822372860,1,0,0,0
1.822403160,1,1,0,0
1.822403240,1,0,0,0
1.822434120,1,1,0,0
1.822434240,1,0,0,0
1.822434340,1,1,0,0
1.822437240,1,0,0,0
1.822465660,1,1,0,0
1.822465820,1,0,0,0
1.822465900,1,1,0,0
1.822467780,1,0,0,0
1.822489280,1,1,0,0
1.822490700,1,0,0,0
1.822496620,1,1,0,0
1.822496780,1,0,0,0
1.822528220,1,1,0,0
1.822528360,1,0,0,0
1.822528440,1,1,0,0
1.822530420,1,0,0,0
1.822556880,0,0,0,0
1.822559540,1,0,0,0
1.822559580,1,1,0,0
1.822559600,1,0,0,0
1.822559620,1,1,0,0
1.822563360,1,0,0,0
1.822563420,0,0,0,0
1.822564060,1,0,0,0
1.822564140,1,1,0,0
1.822564960,1,0,0,0
1.822565020,0,0,0,0
1.822565640,1,0,0,0
1.822565740,1,1,0,0
1.822566520,1,0,0,0
1.822566620,0,0,0,0
1.822567200,1,0,0,0
1.822567320,1,1,0,0
1.822568100,1,0,0,0
1.822568200,0,0,0,0
1.822568740,1,0,0,0
1.822568880,1,1,0,0
1.822569680,1,0,0,0
1.822569800,0,0,0,0
1.822570320,1,0,0,0
1.822570460,1,1,0,0
1.822571240,1,0,0,0
1.822571380,0,0,0,0
1.822571860,1,0,0,0
1.822572020,1,1,0,0
1.822572820,1,0,0,0
1.822573000,0,0,0,0
1.822573340,1,0,0,0
1.822573540,1,1,0,0
1.822574380,1,0,0,0
1.822574640,0,0,0,0
1.822574880,1,0,0,0
1.822575140,1,1,0,0
1.822575940,1,0,0,0
1.822576220,0,0,0,0
1.822576440,1,0,0,0
1.822576700,1,1,0,0
1.822577440,1,0,0,0
1.822577740,0,0,0,0
1.822577900,1,0,0,0
1.822578260,1,1,0,0
1.822579000,1,0,0,0
1.822579300,0,0,0,0
1.822579520,1,0,0,0
1.822579860,1,1,0,0
1.822580580,1,0,0,0
1.822581360,1,1,0,0
1.822582120,1,0,0,0
1.822583020,1,1,0,0
1.822583660,1,0,0,0
1.822584480,1,1,0,0
1.822585220,1,0,0,0
1.822586100,1,1,0,0
1.822586800,1,0,0,0
1.822587660,1,1,0,0
1.822588380,1,0,0,0
1.822589260,1,1,0,0
1.822589920,1,0,0,0
1.822590680,1,1,0,0
1.822590900,1,0,0,0
1.822590920,1,1,0,0
1.822591440,1,0,0,0
1.822592400,0,0,0,0
1.822594860,1,1,0,0
1.822598380,1,0,0,0
1.822598460,0,0,0,0
1.822599120,1,0,0,0
1.822599200,1,1,0,0
1.822599980,1,0,0,0
1.822600080,0,0,0,0
1.822600700,1,0,0,0
1.822600780,1,1,0,0
1.822601540,1,0,0,0
1.822601640,0,0,0,0
1.822602240,1,0,0,0
1.822602340,1,1,0,0
1.822603120,1,0,0,0
1.822603240,0,0,0,0
1.822603820,1,0,0,0
1.822603940,1,1,0,0
1.822604680,1,0,0,0
1.822604820,0,0,0,0
1.822605320,1,0,0,0
1.822605480,1,1,0,0
1.822606260,1,0,0,0
1.822606400,0,0,0,0
1.822606880,1,0,0,0
1.822607060,1,1,0,0
1.822607820,1,0,0,0
1.822607980,0,0,0,0
1.822608420,1,0,0,0
1.822608600,1,1,0,0
1.822609380,1,0,0,0
1.822609520,0,0,0,0
1.822609960,1,0,0,0
1.822610200,1,1,0,0
1.822610940,1,0,0,0
1.822611160,0,0,0,0
1.822611460,1,0,0,0
1.822611740,1,1,0,0
1.822612480,1,0,0,0
1.822612800,0,0,0,0
1.822613040,1,0,0,0
1.822613300,1,1,0,0
1.822614020,1,0,0,0
1.822614280,0,0,0,0
1.822614540,1,0,0,0
1.822614920,1,1,0,0
1.822615560,1,0,0,0
1.822615940,0,0,0,0
1.822616080,1,0,0,0
1.822616520,1,1,0,0
1.822617100,1,0,0,0
1.822618000,1,1,0,0
