name,type,start_time,duration,"mosi","miso"
"SPI","enable",-7e-06,1.99999999e-08,,
"SPI","result",-1e-06,1.5e-05,0x44,0xFF
"SPI","result",2.596e-05,1.5e-05,0xFF,0x00
"SPI","disable",4.894e-05,2.00000004e-08,,
"SPI","enable",5.018e-05,2.00000004e-08,,
"SPI","result",5.618e-05,1.5e-05,0x44,0xFF
"SPI","result",8.314e-05,1.5e-05,0xFF,0x00
"SPI","disable",0.0001061,1.99999999e-08,,
"SPI","enable",0.00010736,1.99999999e-08,,
"SPI","result",0.00011334,1.5e-05,0x44,0xFF
"SPI","result",0.00014032,1.5e-05,0xFF,0x00
"SPI","disable",0.00016328,1.99999999e-08,,
"SPI","enable",0.00016452,1.99999999e-08,,
"SPI","result",0.00017052,1.5e-05,0x44,0xFF
"SPI","result",0.00019748,1.5e-05,0xFF,0x00
"SPI","disable",0.00023394,1.99999995e-08,,
"SPI","enable",0.00023518,1.99999995e-08,,
"SPI","result",0.00024118,1.5e-05,0x44,0xFF
"SPI","result",0.00026814,1.5e-05,0xFF,0x00
"SPI","disable",0.00029112,1.99999995e-08,,
"SPI","enable",0.00029236,1.99999999e-08,,
"SPI","result",0.00029836,1.5e-05,0x44,0xFF
"SPI","result",0.00032532,1.5e-05,0xFF,0x00
"SPI","disable",0.00034828,1.99999999e-08,,
"SPI","enable",0.00034954,1.99999999e-08,,
"SPI","result",0.00035554,1.5e-05,0x44,0xFF
"SPI","result",0.0003825,1.5e-05,0xFF,0x00
"SPI","disable",0.00040546,1.99999999e-08,,
"SPI","enable",0.00040672,1.99999999e-08,,
"SPI","result",0.0004127,1.5e-05,0x44,0xFF
"SPI","result",0.00043968,1.5e-05,0xFF,0x00
"SPI","disable",0.00046264,1.99999995e-08,,
"SPI","enable",0.00046388,1.99999999e-08,,
"SPI","result",0.00046988,1.5e-05,0x44,0xFF
"SPI","result",0.00049686,1.5e-05,0xFF,0x00
"SPI","disable",0.00051982,1.99999999e-08,,
"SPI","enable",0.00052106,2.00000004e-08,,
"SPI","result",0.00052706,1.5e-05,0x44,0xFF
"SPI","result",0.00056752,1.5e-05,0xFF,0x00
"SPI","disable",0.00059048,2.00000004e-08,,
"SPI","enable",0.00059172,2.00000004e-08,,
"SPI","result",0.00059772,1.5e-05,0x44,0xFF
"SPI","result",0.00062468,1.5e-05,0xFF,0x00
"SPI","disable",0.00064766,1.99999999e-08,,
"SPI","enable",0.0006489,1.99999999e-08,,
"SPI","result",0.0006549,1.5e-05,0x44,0xFF
"SPI","result",0.00068186,1.5e-05,0xFF,0x00
"SPI","disable",0.00070482,1.99999999e-08,,
"SPI","enable",0.00070608,1.99999999e-08,,
"SPI","result",0.00071206,1.5e-05,0x44,0xFF
"SPI","result",0.00073904,1.5e-05,0xFF,0x00
"SPI","disable",0.000762,1.99999999e-08,,
"SPI","enable",0.00076324,1.99999999e-08,,
"SPI","result",0.00076924,1.5e-05,0x44,0xFF
"SPI","result",0.0007962,1.5e-05,0xFF,0x00
"SPI","disable",0.00081918,2.00000004e-08,,
"SPI","enable",0.00082042,1.99999999e-08,,
"SPI","result",0.00082642,1.5e-05,0x44,0xFF
"SPI","result",0.00085338,1.5e-05,0xFF,0x00
"SPI","disable",0.0009505,2.00000004e-08,,
"SPI","enable",0.00095176,1.99999999e-08,,
"SPI","result",0.00095774,1.5e-05,0x44,0xFF
"SPI","result",0.0009847,1.5e-05,0xFF,0xFF
"SPI","disable",0.00100792,1.99999999e-08,,
"SPI","enable",0.00101492,1.99999999e-08,,
"SPI","result",0.0010244,1.5e-05,0x04,0xFF
"SPI","result",0.00105286,1.5e-05,0x21,0xFF
"SPI","result",0.00108132,1.5e-05,0x71,0xFF
"SPI","result",0.00110978,1.5e-05,0x4B,0xFF
"SPI","result",0.00113824,1.5e-05,0x00,0xFF
"SPI","result",0.0011667,1.5e-05,0x00,0xFF
"SPI","result",0.00121614,1.5e-05,0xBA,0xFF
"SPI","result",0.0012446,1.498e-05,0x9E,0xFF
"SPI","disable",0.0012693,2.00000004e-08,,
"SPI","enable",0.00127854,1.99999995e-08,,
"SPI","result",0.00128454,1.498e-05,0x44,0xFF
"SPI","result",0.0013115,1.5e-05,0xFF,0x00
"SPI","disable",0.00133446,1.99999999e-08,,
"SPI","enable",0.0013357,1.99999999e-08,,
"SPI","result",0.0013417,1.5e-05,0x44,0xFF
"SPI","result",0.00136866,1.5e-05,0xFF,0x00
"SPI","disable",0.00139162,2.00000004e-08,,
"SPI","enable",0.00139288,2.00000004e-08,,
"SPI","result",0.00139886,1.5e-05,0x44,0xFF
"SPI","result",0.00142582,1.5e-05,0xFF,0x00
"SPI","disable",0.0014488,1.99999999e-08,,
"SPI","enable",0.00145004,1.99999999e-08,,
"SPI","result",0.00145604,1.5e-05,0x44,0xFF
"SPI","result",0.001483,1.5e-05,0xFF,0x00
"SPI","disable",0.00150596,1.99999999e-08,,
"SPI","enable",0.00150722,2.00000004e-08,,
"SPI","result",0.0015132,1.5e-05,0x44,0xFF
"SPI","result",0.00155366,1.498e-05,0xFF,0x00
"SPI","disable",0.00157662,1.99999999e-08,,
"SPI","enable",0.00157786,1.99999999e-08,,
"SPI","result",0.00158386,1.5e-05,0x44,0xFF
"SPI","result",0.00161082,1.5e-05,0xFF,0x00
