Time [s],SCLK,SDO,SDI,nSEL
-1.000000000,0,0,0,0
-0.000000020,1,1,1,1
0.000000000,0,0,0,0
0.095490920,1,1,1,1
0.095490940,0,0,0,0
0.095490960,1,1,1,1
0.095491000,0,0,0,0
0.095491020,1,1,1,1
0.095491040,0,0,0,0
0.095491060,0,0,0,1
0.095491080,1,1,1,1
0.095491160,0,0,0,1
0.095491180,0,0,0,0
0.095491300,0,0,0,1
0.095491340,0,1,0,1
0.095491360,0,0,0,1
0.095491380,0,0,0,0
0.256629100,0,1,0,0
0.262682480,0,0,0,0
0.262690660,0,1,0,0
0.482995800,0,1,0,1
0.483039820,0,1,0,0
0.483045820,1,1,0,0
0.483046820,0,1,1,0
0.483047820,1,1,1,0
0.483048820,0,1,0,0
0.483049820,1,1,0,0
0.483050820,0,1,0,0
0.483051820,1,1,0,0
0.483052820,0,1,0,0
0.483053820,1,1,0,0
0.483054820,0,1,1,0
0.483055820,1,1,1,0
0.483056820,0,1,0,0
0.483057820,1,1,0,0
0.483058820,0,1,0,0
0.483059820,1,1,0,0
0.483060820,0,0,0,0
0.483071060,0,0,1,0
0.483072820,1,0,1,0
0.483073820,0,0,1,0
0.483074820,1,0,1,0
0.483075820,0,0,1,0
0.483076820,1,0,1,0
0.483077820,0,0,1,0
0.483078820,1,0,1,0
0.483079820,0,0,1,0
0.483080820,1,0,1,0
0.483081820,0,0,1,0
0.483082820,1,0,1,0
0.483083820,0,0,1,0
0.483084820,1,0,1,0
0.483085820,0,0,1,0
0.483086820,1,0,1,0
0.483087820,0,0,1,0
0.483095820,0,0,1,1
0.483096520,0,1,1,1
0.483097080,0,1,1,0
0.483101320,0,1,0,0
0.483103080,1,1,0,0
0.483104080,0,1,1,0
0.483105080,1,1,1,0
0.483106080,0,1,0,0
0.483107080,1,1,0,0
0.483108080,0,1,0,0
0.483109080,1,1,0,0
0.483110080,0,1,0,0
0.483111080,1,1,0,0
0.483112080,0,1,1,0
0.483113080,1,1,1,0
0.483114080,0,1,0,0
0.483115080,1,1,0,0
0.483116080,0,1,0,0
0.483117080,1,1,0,0
0.483118080,0,1,0,0
0.483118100,0,0,0,0
0.483128340,0,0,1,0
0.483130080,1,0,1,0
0.483131080,0,0,1,0
0.483132080,1,0,1,0
0.483133080,0,0,1,0
0.483134080,1,0,1,0
0.483135080,0,0,1,0
0.483136080,1,0,1,0
0.483137080,0,0,1,0
0.483138080,1,0,1,0
0.483139080,0,0,1,0
0.483140080,1,0,1,0
0.483141080,0,0,1,0
0.483142080,1,0,1,0
0.483143080,0,0,1,0
0.483144080,1,0,1,0
0.483145080,0,0,1,0
0.483153080,0,0,1,1
0.483153740,0,1,1,1
0.483154340,0,1,1,0
0.483158580,0,1,0,0
0.483160340,1,1,0,0
0.483161340,0,1,1,0
0.483162340,1,1,1,0
0.483163340,0,1,0,0
0.483164340,1,1,0,0
0.483165340,0,1,0,0
0.483166340,1,1,0,0
0.483167340,0,1,0,0
0.483168340,1,1,0,0
0.483169340,0,1,1,0
0.483170340,1,1,1,0
0.483171340,0,1,0,0
0.483172340,1,1,0,0
0.483173340,0,1,0,0
0.483174340,1,1,0,0
0.483175340,0,1,0,0
0.483175360,0,0,0,0
0.483185600,0,0,1,0
0.483187340,1,0,1,0
0.483188340,0,0,1,0
0.483189340,1,0,1,0
0.483190340,0,0,1,0
0.483191340,1,0,1,0
0.483192340,0,0,1,0
0.483193340,1,0,1,0
0.483194340,0,0,1,0
0.483195360,1,0,1,0
0.483196340,0,0,1,0
0.483197360,1,0,1,0
0.483198340,0,0,1,0
0.483199360,1,0,1,0
0.483200360,0,0,1,0
0.483201360,1,0,1,0
0.483202360,0,0,1,0
0.483210360,0,0,1,1
0.483211040,0,1,1,1
0.483211600,0,1,1,0
0.483215860,0,1,0,0
0.483217600,1,1,0,0
0.483218600,0,1,1,0
0.483219600,1,1,1,0
0.483220600,0,1,0,0
0.483221600,1,1,0,0
0.483222600,0,1,0,0
0.483223600,1,1,0,0
0.483224600,0,1,0,0
0.483225600,1,1,0,0
0.483226600,0,1,1,0
0.483227600,1,1,1,0
0.483228600,0,1,0,0
0.483229600,1,1,0,0
0.483230600,0,1,0,0
0.483231600,1,1,0,0
0.483232600,0,1,0,0
0.483232620,0,0,0,0
0.483242860,0,0,1,0
0.483244600,1,0,1,0
0.483245600,0,0,1,0
0.483246600,1,0,1,0
0.483247600,0,0,1,0
0.483248600,1,0,1,0
0.483249600,0,0,1,0
0.483250600,1,0,1,0
0.483251600,0,0,1,0
0.483252600,1,0,1,0
0.483253600,0,0,1,0
0.483254600,1,0,1,0
0.483255600,0,0,1,0
0.483256600,1,0,1,0
0.483257600,0,0,1,0
0.483258600,1,0,1,0
