name,type,start_time,duration,"mosi","miso"
"SPI","enable",3.12305737e-16,2.00000004e-08,,
"SPI","disable",0.33921564,1.99999995e-08,,
"SPI","enable",0.33925962,2.00000004e-08,,
"SPI","result",0.33926562,1.502e-05,0x44,0xFF
"SPI","result",0.3392926,1.502e-05,0xFF,0x00
"SPI","disable",0.3393156,2.00000004e-08,,
"SPI","enable",0.33931684,2.00000004e-08,,
"SPI","result",0.33932284,1.502e-05,0x44,0xFF
"SPI","result",0.33934984,1.5e-05,0xFF,0x00
"SPI","disable",0.33937282,1.99999995e-08,,
"SPI","enable",0.33937406,1.99999995e-08,,
"SPI","result",0.33938006,1.502e-05,0x44,0xFF
"SPI","result",0.33942828,1.502e-05,0xFF,0x00
"SPI","disable",0.33945128,2.00000004e-08,,
"SPI","enable",0.33945252,2.00000013e-08,,
"SPI","result",0.33945852,1.5e-05,0x44,0xFF
"SPI","result",0.3394855,1.5e-05,0xFF,0x00
"SPI","disable",0.33950848,2.00000004e-08,,
"SPI","enable",0.33950974,2.00000004e-08,,
"SPI","result",0.33951572,1.502e-05,0x44,0xFF
"SPI","result",0.33954272,1.5e-05,0xFF,0x00
"SPI","disable",0.3395657,1.99999995e-08,,
"SPI","enable",0.33956694,2.00000004e-08,,
"SPI","result",0.33957294,1.502e-05,0x44,0xFF
"SPI","result",0.33959992,1.502e-05,0xFF,0x00
"SPI","disable",0.33962292,2.00000013e-08,,
"SPI","enable",0.33962416,2.00000004e-08,,
"SPI","result",0.33963016,1.5e-05,0x44,0xFF
"SPI","result",0.33965714,1.502e-05,0xFF,0x00
"SPI","disable",0.33968012,1.99999995e-08,,
"SPI","enable",0.33968138,2.00000013e-08,,
"SPI","result",0.33968738,1.5e-05,0x44,0xFF
"SPI","result",0.33971436,1.502e-05,0xFF,0x00
"SPI","disable",0.3397586,1.99999995e-08,,
"SPI","enable",0.33975984,1.99999995e-08,,
"SPI","result",0.33976584,1.5e-05,0x44,0xFF
"SPI","result",0.33979282,1.5e-05,0xFF,0x00
"SPI","disable",0.3398158,1.99999995e-08,,
"SPI","enable",0.33981706,2.00000004e-08,,
"SPI","result",0.33982306,1.5e-05,0x44,0xFF
"SPI","result",0.33985004,1.502e-05,0xFF,0x00
"SPI","disable",0.33987302,1.99999995e-08,,
"SPI","enable",0.33987428,2.00000013e-08,,
"SPI","result",0.33988028,1.5e-05,0x44,0xFF
"SPI","result",0.33990726,1.5e-05,0xFF,0x00
"SPI","disable",0.33993024,1.99999995e-08,,
"SPI","enable",0.33993148,1.99999995e-08,,
"SPI","result",0.33993748,1.5e-05,0x44,0xFF
"SPI","result",0.33996446,1.502e-05,0xFF,0x00
