Time [s],SCLK,SDO,SDI,nSEL
-1.000000000,0,0,0,0
-0.226105920,0,1,0,0
-0.219984760,0,0,0,0
-0.219976560,0,1,0,0
-0.000050940,0,1,0,1
-0.000007000,0,1,0,0
-0.000001000,1,1,0,0
0.000000000,0,1,1,0
0.000001000,1,1,1,0
0.000002000,0,1,0,0
0.000003000,1,1,0,0
0.000004000,0,1,0,0
0.000005000,1,1,0,0
0.000006000,0,1,0,0
0.000007000,1,1,0,0
0.000007980,0,1,0,0
0.000008000,0,1,1,0
0.000008980,1,1,1,0
0.000009980,0,1,0,0
0.000010980,1,1,0,0
0.000011980,0,1,0,0
0.000012980,1,1,0,0
0.000013980,0,1,0,0
0.000014000,0,0,0,0
0.000024220,0,0,1,0
0.000025960,1,0,1,0
0.000026960,0,0,1,0
0.000027960,1,0,1,0
0.000028960,0,0,1,0
0.000029960,1,0,1,0
0.000030960,0,0,1,0
0.000031960,1,0,1,0
0.000032960,0,0,1,0
0.000033960,1,0,1,0
0.000034960,0,0,1,0
0.000035960,1,0,1,0
0.000036940,0,0,1,0
0.000037940,1,0,1,0
0.000038940,0,0,1,0
0.000039940,1,0,1,0
0.000040940,0,0,1,0
0.000048940,0,0,1,1
0.000049660,0,1,1,1
0.000050180,0,1,1,0
0.000054420,0,1,0,0
0.000056180,1,1,0,0
0.000057180,0,1,1,0
0.000058180,1,1,1,0
0.000059160,0,1,1,0
0.000059180,0,1,0,0
0.000060160,1,1,0,0
0.000061160,0,1,0,0
0.000062160,1,1,0,0
0.000063160,0,1,0,0
0.000064160,1,1,0,0
0.000065160,0,1,1,0
0.000066160,1,1,1,0
0.000067160,0,1,0,0
0.000068160,1,1,0,0
0.000069160,0,1,0,0
0.000070160,1,1,0,0
0.000071160,0,0,0,0
0.000081400,0,0,1,0
0.000083140,1,0,1,0
0.000084140,0,0,1,0
0.000085140,1,0,1,0
0.000086140,0,0,1,0
0.000087140,1,0,1,0
0.000088140,0,0,1,0
0.000089120,1,0,1,0
0.000090120,0,0,1,0
0.000091120,1,0,1,0
0.000092120,0,0,1,0
0.000093120,1,0,1,0
0.000094120,0,0,1,0
0.000095120,1,0,1,0
0.000096120,0,0,1,0
0.000097120,1,0,1,0
0.000098120,0,0,1,0
0.000106100,0,0,1,1
0.000106840,0,1,1,1
0.000107360,0,1,1,0
0.000111600,0,1,0,0
0.000113340,1,1,0,0
0.000114340,0,1,1,0
0.000115340,1,1,1,0
0.000116340,0,1,0,0
0.000117340,1,1,0,0
0.000118340,0,1,0,0
0.000119340,1,1,0,0
0.000120340,0,1,0,0
0.000121340,1,1,0,0
0.000122340,0,1,1,0
0.000123340,1,1,1,0
0.000124320,0,1,1,0
0.000124340,0,1,0,0
0.000125320,1,1,0,0
0.000126320,0,1,0,0
0.000127320,1,1,0,0
0.000128320,0,1,0,0
0.000128340,0,0,0,0
0.000138560,0,0,1,0
0.000140320,1,0,1,0
0.000141300,0,0,1,0
0.000142320,1,0,1,0
0.000143300,0,0,1,0
0.000144300,1,0,1,0
0.000145300,0,0,1,0
0.000146300,1,0,1,0
0.000147300,0,0,1,0
0.000148300,1,0,1,0
0.000149300,0,0,1,0
0.000150300,1,0,1,0
0.000151300,0,0,1,0
0.000152300,1,0,1,0
0.000153300,0,0,1,0
0.000154300,1,0,1,0
0.000155300,0,0,1,0
0.000163280,0,0,1,1
0.000164040,0,1,1,1
0.000164520,0,1,1,0
0.000168780,0,1,0,0
0.000170520,1,1,0,0
0.000171520,0,1,1,0
0.000172520,1,1,1,0
0.000173520,0,1,0,0
0.000174520,1,1,0,0
0.000175520,0,1,0,0
0.000176520,1,1,0,0
0.000177500,0,1,0,0
0.000178500,1,1,0,0
0.000179500,0,1,1,0
0.000180500,1,1,1,0
0.000181500,0,1,0,0
0.000182500,1,1,0,0
0.000183500,0,1,0,0
0.000184500,1,1,0,0
0.000185500,0,0,0,0
0.000195740,0,0,1,0
0.000197480,1,0,1,0
0.000198480,0,0,1,0
0.000199480,1,0,1,0
0.000200480,0,0,1,0
0.000201480,1,0,1,0
0.000202480,0,0,1,0
0.000203480,1,0,1,0
0.000204480,0,0,1,0
0.000205480,1,0,1,0
0.000206480,0,0,1,0
0.000207480,1,0,1,0
0.000208460,0,0,1,0
0.000209460,1,0,1,0
0.000210460,0,0,1,0
0.000211460,1,0,1,0
0.000212460,0,0,1,0
0.000233940,0,0,1,1
0.000234700,0,1,1,1
0.000235180,0,1,1,0
0.000239440,0,1,0,0
0.000241180,1,1,0,0
0.000242180,0,1,1,0
0.000243180,1,1,1,0
0.000244180,0,1,0,0
0.000245180,1,1,0,0
0.000246180,0,1,0,0
0.000247180,1,1,0,0
0.000248160,0,1,0,0
0.000249180,1,1,0,0
0.000250160,0,1,1,0
0.000251160,1,1,1,0
0.000252160,0,1,0,0
0.000253160,1,1,0,0
0.000254160,0,1,0,0
0.000255160,1,1,0,0
0.000256160,0,1,0,0
0.000256180,0,0,0,0
0.000266400,0,0,1,0
0.000268140,1,0,1,0
0.000269140,0,0,1,0
0.000270140,1,0,1,0
0.000271140,0,0,1,0
0.000272140,1,0,1,0
0.000273140,0,0,1,0
0.000274140,1,0,1,0
0.000275140,0,0,1,0
0.000276140,1,0,1,0
0.000277120,0,0,1,0
0.000278120,1,0,1,0
0.000279120,0,0,1,0
0.000280120,1,0,1,0
0.000281120,0,0,1,0
0.000282120,1,0,1,0
0.000283120,0,0,1,0
0.000291120,0,0,1,1
0.000291860,0,1,1,1
0.000292360,0,1,1,0
0.000296600,0,1,0,0
0.000298360,1,1,0,0
0.000299360,0,1,1,0
0.000300360,1,1,1,0
0.000301340,0,1,1,0
0.000301360,0,1,0,0
0.000302340,1,1,0,0
0.000303340,0,1,0,0
0.000304340,1,1,0,0
0.000305340,0,1,0,0
0.000306340,1,1,0,0
0.000307340,0,1,1,0
0.000308340,1,1,1,0
0.000309340,0,1,0,0
0.000310340,1,1,0,0
0.000311340,0,1,0,0
0.000312340,1,1,0,0
0.000313340,0,0,0,0
0.000323580,0,0,1,0
0.000325320,1,0,1,0
0.000326320,0,0,1,0
0.000327320,1,0,1,0
0.000328320,0,0,1,0
